,Lat,Long,City,Country,Date,Max Temperature,Humidity,Cloudiness,Wind Speed
322,37.426310994889604,23.770905737801485,poros,gr,1601703920.0,23.33,83.0,0.0,1.34
329,47.896381119869545,127.0226016236503,hailun,cn,1601703920.0,10.92,75.0,97.0,6.74
330,-6.12554371346846,-71.98467053483722,ipixuna,br,1601703921.0,25.0,94.0,51.0,1.0
332,-23.786018466797216,117.2854779978195,roebourne,au,1601703922.0,32.99,25.0,0.0,8.44
338,-5.300058684203265,-84.383369660864,talara,pe,1601703751.0,17.66,84.0,54.0,6.76
339,14.310952624147305,-96.7651749160326,pochutla,mx,1601703923.0,23.89,88.0,93.0,1.97
342,-14.471723145606248,-74.04199583949735,puquio,pe,1601703923.0,10.94,47.0,86.0,0.88
346,72.32297674312636,-138.71050434007464,aklavik,ca,1601703924.0,7.0,81.0,75.0,4.6
347,5.817434014411006,-27.764304643036468,sao filipe,cv,1601703925.0,26.62,77.0,50.0,7.37
348,28.277211417275296,41.2403918865391,sakakah,sa,1601703650.0,25.0,25.0,0.0,3.1
350,34.005338526790254,-134.04062555710635,fortuna,us,1601703784.0,13.89,95.0,0.0,0.59
352,42.54811761096872,126.34856838117997,huinan,cn,1601703926.0,15.23,47.0,0.0,4.71
354,52.824499397814066,88.95648416341322,biskamzha,ru,1601703927.0,9.03,51.0,18.0,0.98
361,34.3985612538895,-125.65738146359153,pacific grove,us,1601703863.0,21.11,60.0,1.0,3.6
365,64.50658438691997,152.45882021592155,seymchan,ru,1601703929.0,5.96,63.0,83.0,1.07
369,2.825781474681122,103.76076396161187,mersing,my,1601703929.0,31.0,70.0,40.0,3.6
371,17.358918891897275,10.401641481283377,agadez,ne,1601703930.0,26.97,16.0,19.0,1.26
373,38.047373347327465,-85.3722391725053,shelbyville,us,1601703931.0,6.0,93.0,1.0,1.34
374,86.09445581614935,-130.7094685112362,tuktoyaktuk,ca,1601703931.0,6.0,93.0,90.0,5.7
383,-20.499407792619436,159.210882191125,poum,nc,1601703932.0,22.45,72.0,56.0,5.6
386,4.839183115095153,11.031843876911068,bafia,cm,1601703933.0,20.77,98.0,100.0,0.75
387,-37.389751201601484,81.52463376661848,bambous virieux,mu,1601703933.0,25.0,61.0,20.0,1.5
392,19.662671220242885,3.3303238376634,kidal,ml,1601703934.0,28.23,49.0,89.0,4.45
393,-28.79859341103426,112.68686907027654,geraldton,au,1601703935.0,18.0,42.0,40.0,10.3
394,68.00487444597883,-147.0426116225075,fairbanks,us,1601703636.0,15.0,54.0,1.0,3.6
397,8.835590481583381,-8.578295957140682,beyla,gn,1601703936.0,18.76,97.0,97.0,1.28
398,50.986168938994695,9.496211039512758,homberg,de,1601703936.0,14.0,82.0,90.0,1.0
403,61.907698729806185,-30.70587958436755,olafsvik,is,1601703937.0,4.52,75.0,60.0,6.08
406,-58.67797996475002,-19.937675706207813,cidreira,br,1601703938.0,15.02,82.0,100.0,7.36
407,24.710191948655407,12.533056045117291,marzuq,ly,1601703938.0,27.11,16.0,0.0,6.27
410,29.97376374158972,121.90869114233146,zhenhai,cn,1601703939.0,31.0,55.0,20.0,3.0
411,39.804850460510295,-18.030260710330026,camacha,pt,1601703940.0,20.0,88.0,75.0,6.2
413,1.3475000274748368,-31.393709888537728,touros,br,1601703652.0,22.0,94.0,40.0,1.5
417,26.555097039058708,70.07557950353089,jaisalmer,in,1601703941.0,35.5,23.0,0.0,6.01
418,65.43083725072952,174.9631937484586,anadyr,ru,1601703942.0,4.0,72.0,99.0,3.0
419,43.49302292568578,1.9434341116480596,castelnaudary,fr,1601703942.0,8.0,93.0,75.0,1.5
424,56.88255793038394,-57.744724435189,saint-augustin,ca,1601703943.0,10.84,93.0,84.0,3.69
426,30.558518639258835,-98.94016531000922,fredericksburg,us,1601703943.0,9.44,100.0,1.0,2.27
428,38.03570721890992,-8.113598259177905,ferreira do alentejo,pt,1601703944.0,9.0,93.0,20.0,4.1
429,62.93873219558125,-12.761789278734796,hofn,is,1601703944.0,8.63,87.0,100.0,5.64
433,33.46672705144864,126.84531149082426,fukue,jp,1601703945.0,24.0,83.0,75.0,4.1
434,0.8639558753033469,47.31605611276768,mogadishu,so,1601703946.0,27.0,69.0,40.0,5.1
437,-39.334839519478386,39.63246797807517,margate,za,1601703946.0,15.56,99.0,100.0,3.45
442,49.88290300134244,-27.345808285579636,lagoa,pt,1601703947.0,20.37,81.0,98.0,8.41
444,-37.64134570162352,-100.35382966647636,lebu,cl,1601703948.0,7.02,84.0,82.0,3.12
447,-12.325185159605383,100.23975345609443,labuhan,id,1601703948.0,32.31,49.0,77.0,4.79
453,-6.838154375100274,159.50432403106174,buala,sb,1601703949.0,28.75,65.0,10.0,3.26
454,60.14117548271844,-117.3623119301091,high level,ca,1601703950.0,6.0,87.0,1.0,1.65
456,65.20668599695603,-148.85589100059872,college,us,1601703950.0,15.0,43.0,75.0,1.5
458,4.697175323867356,66.25750443963827,mahibadhoo,mv,1601703951.0,28.3,72.0,96.0,5.6
459,55.412227062368345,-91.295413368088,sioux lookout,ca,1601703951.0,2.0,74.0,90.0,1.5
461,54.097284941463926,-13.613052467996908,dingle,ie,1601703952.0,30.59,74.0,57.0,2.71
462,-15.469295535576293,60.591203608639574,grand gaube,mu,1601703953.0,25.0,66.0,0.0,1.34
463,-71.5976006274619,179.96277922834065,kaitangata,nz,1601703953.0,17.22,54.0,93.0,3.13
465,-44.7325528248045,-69.95681073633497,coihaique,cl,1601703954.0,-2.0,63.0,0.0,2.6
467,-12.71699448791233,148.72777806554143,samarai,pg,1601703955.0,25.73,87.0,73.0,7.75
469,-35.02895461700764,22.227188751531088,george,za,1601703683.0,13.0,100.0,90.0,9.8
470,79.15900221858564,33.0008289298153,vardo,no,1601703955.0,8.7,87.0,95.0,6.31
471,44.73524712449597,108.86570709473563,darhan,mn,1601703956.0,4.33,58.0,76.0,4.86
472,-24.93637971866444,-29.84904866592109,vila velha,br,1601703956.0,25.0,83.0,0.0,5.1
473,5.704713631563806,66.15768517249265,ugoofaaru,mv,1601703957.0,28.14,72.0,93.0,5.8
474,35.783043958732264,-90.4970952765063,jonesboro,us,1601703708.0,10.56,81.0,1.0,1.89
475,24.48070899592338,129.8272010168712,nishihara,jp,1601703958.0,31.0,45.0,20.0,6.7
477,0.8762295910028683,104.47412656766755,kijang,id,1601703959.0,26.0,44.0,40.0,2.1
481,82.8499596511191,87.46477918075215,dikson,ru,1601703959.0,1.41,88.0,99.0,9.94
482,70.25582629224121,-55.250267144955046,kangaatsiaq,gl,1601703960.0,1.32,85.0,100.0,6.0
484,55.48002758840883,84.88449556340453,yurga,ru,1601703961.0,9.51,74.0,84.0,6.12
485,55.310745859578304,39.079827532355864,krasnyy tkach,ru,1601703961.0,8.0,87.0,100.0,2.0
486,49.787818143302644,-66.53144736524581,port-cartier,ca,1601703962.0,7.22,100.0,90.0,2.16
487,-1.4046804799439343,108.12311904745934,manggar,id,1601703962.0,29.92,67.0,99.0,6.11
488,38.496376359579045,44.91576531443076,khoy,ir,1601703962.0,16.0,67.0,0.0,1.0
490,-27.585509781855748,-96.87982485571847,pisco,pe,1601703888.0,17.0,82.0,42.0,4.6
492,0.4467841536077941,158.70610249777616,kieta,pg,1601703963.0,28.06,75.0,45.0,2.99
